time TNF TNFR TRADD RIP1.1.0 A20 FADD FLIP C8.1.0 RIP3 TNF.1.TNFR.1.0 TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TNF.1.TNFR.1.0 RIP1.1.TNF.1.TNFR.1.TRADD.1.0 A20.1.RIP1.1.TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TRADD.1.0 FADD.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.RIP1.1.TRADD.1.0 FADD.1.RIP1.1.RIP3.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.1 C8.1.1 RIP1.1.RIP3.1.0 RIP1.1.RIP3.1.1 RIP1.1.RIP3.1.2 RIP1.1.RIP3.1.MLKL.1.0 MLKL.1.0 MLKL.1.1 Bid.1.0 Bid.1.1 Bid.1.C8.1.0 RIP1.1.1
0 392 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
10 391 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
20 391 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
30 391 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
40 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
50 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
60 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
70 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
80 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
90 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
100 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
110 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
120 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
130 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
140 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
150 387 195 375 1667 375 335 163 375 1668 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
160 386 194 375 1667 375 335 163 375 1668 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
170 386 194 375 1667 375 335 163 375 1668 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
180 386 194 375 1667 375 335 163 375 1668 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
190 385 193 375 1667 375 335 163 375 1668 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
200 385 193 375 1667 375 335 163 375 1668 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
210 385 193 375 1667 375 335 163 375 1668 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
220 385 193 375 1667 375 335 163 375 1668 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
230 384 192 375 1667 375 335 163 375 1668 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
240 384 192 375 1667 375 335 163 375 1668 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
250 384 192 375 1667 375 335 163 375 1668 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
260 384 192 375 1667 375 335 163 375 1668 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
270 383 191 375 1666 375 335 163 375 1668 7 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
280 383 191 375 1666 375 335 163 375 1668 7 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
290 382 191 375 1666 375 335 163 375 1668 7 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
300 381 190 375 1666 375 335 163 375 1668 8 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
310 381 190 375 1666 375 335 163 375 1668 8 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
320 380 189 375 1666 375 335 163 375 1668 9 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
330 380 189 375 1665 375 335 163 375 1668 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
340 380 189 375 1665 375 335 163 375 1668 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
350 380 189 375 1665 375 335 163 375 1668 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
360 380 189 375 1665 375 335 163 375 1668 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
370 380 189 375 1665 375 335 163 375 1668 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
380 380 189 375 1665 375 335 163 375 1668 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
390 380 189 375 1664 375 335 163 375 1668 7 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
400 380 189 375 1664 375 335 163 375 1668 7 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
410 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
420 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
430 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
440 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
450 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
460 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
470 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
480 380 189 375 1663 375 335 163 375 1668 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
490 379 188 375 1663 375 335 163 375 1668 7 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
500 379 188 375 1663 375 335 163 375 1668 7 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
510 378 187 375 1663 375 335 163 375 1668 8 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
520 378 187 375 1663 375 335 163 375 1668 8 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
530 377 186 375 1663 375 335 163 375 1668 9 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
540 377 186 375 1663 375 335 163 375 1668 9 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
550 377 186 375 1663 375 335 163 375 1668 9 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
560 376 185 375 1663 375 335 163 375 1668 10 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
570 376 185 375 1663 375 335 163 375 1668 10 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
580 376 185 375 1663 375 335 163 375 1668 10 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
590 375 185 375 1663 375 335 163 375 1668 10 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
600 374 184 375 1663 375 335 163 375 1668 11 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
610 373 183 375 1663 375 335 163 375 1668 12 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
620 373 183 375 1663 375 335 163 375 1668 12 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
630 372 182 375 1663 375 335 163 375 1668 13 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
640 369 179 375 1663 375 335 163 375 1668 16 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
650 369 179 375 1663 375 335 163 375 1668 16 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
660 369 179 375 1663 375 335 163 375 1668 16 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
670 369 179 375 1663 375 335 163 375 1668 16 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
680 368 178 375 1663 375 335 163 375 1668 17 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
690 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
700 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
710 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
720 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
730 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
740 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
750 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
760 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
770 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
780 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
790 367 177 375 1663 375 335 163 375 1668 18 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
800 367 177 375 1661 375 335 163 375 1668 16 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
810 367 177 375 1660 375 335 163 375 1668 15 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
820 367 177 375 1660 375 335 163 375 1668 15 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
830 366 176 375 1660 375 335 163 375 1668 16 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
840 366 176 375 1660 375 335 163 375 1668 16 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
850 366 176 375 1660 375 335 163 375 1668 16 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
860 366 176 375 1660 375 335 163 375 1668 16 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
870 366 176 375 1660 375 335 163 375 1668 16 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
880 366 176 375 1659 375 335 163 375 1668 15 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
890 365 175 375 1659 375 335 163 375 1668 16 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
900 365 175 375 1659 375 335 163 375 1668 16 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
910 365 175 375 1659 375 335 163 375 1668 16 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
920 365 175 375 1659 375 335 163 375 1668 16 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
930 365 175 375 1659 375 335 163 375 1668 16 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
940 364 174 374 1659 375 335 163 375 1668 16 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
950 364 174 374 1659 375 335 163 375 1668 16 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
960 364 174 374 1659 375 335 163 375 1668 16 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
970 363 174 374 1658 375 335 163 375 1668 15 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
980 363 174 374 1658 375 335 163 375 1668 15 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
990 363 174 374 1658 375 335 163 375 1668 15 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1000 363 174 374 1658 375 335 163 375 1668 15 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1010 363 174 374 1658 375 335 163 375 1668 15 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1020 363 174 374 1658 375 335 163 375 1668 15 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1030 362 173 374 1658 375 335 163 375 1668 16 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1040 361 172 374 1658 375 335 163 375 1668 17 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1050 360 172 374 1658 375 335 163 375 1668 17 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1060 360 172 374 1658 375 335 163 375 1668 17 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1070 359 171 374 1658 375 335 163 375 1668 18 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1080 359 171 374 1657 375 335 163 375 1668 17 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1090 359 171 374 1657 375 335 163 375 1668 17 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1100 359 171 374 1657 375 335 163 375 1668 17 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1110 359 171 374 1657 375 335 163 375 1668 17 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1120 358 170 374 1657 375 335 163 375 1668 18 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1130 358 170 374 1657 375 335 163 375 1668 18 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
