time TNF TNFR TRADD RIP1.1.0 A20 FADD FLIP C8.1.0 RIP3 TNF.1.TNFR.1.0 TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TNF.1.TNFR.1.0 RIP1.1.TNF.1.TNFR.1.TRADD.1.0 A20.1.RIP1.1.TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TRADD.1.0 FADD.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.RIP1.1.TRADD.1.0 FADD.1.RIP1.1.RIP3.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.1 C8.1.1 RIP1.1.RIP3.1.0 RIP1.1.RIP3.1.1 RIP1.1.RIP3.1.2 RIP1.1.RIP3.1.MLKL.1.0 MLKL.1.0 MLKL.1.1 Bid.1.0 Bid.1.1 Bid.1.C8.1.0 RIP1.1.1
0 392 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
10 391 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
20 390 198 375 1668 375 335 163 375 1668 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
30 390 198 375 1668 375 335 163 375 1668 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
40 390 198 375 1668 375 335 163 375 1668 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
50 390 198 375 1668 375 335 163 375 1668 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
60 389 197 375 1668 375 335 163 375 1668 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
70 389 197 375 1668 375 335 163 375 1668 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
80 389 197 375 1668 375 335 163 375 1668 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
90 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
100 388 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
110 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
120 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
130 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
140 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
150 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
160 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
170 387 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
180 387 196 375 1667 375 335 163 375 1668 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
190 386 196 375 1667 375 335 163 375 1668 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
200 384 194 375 1667 375 335 163 375 1668 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
210 384 194 375 1667 375 335 163 375 1668 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
220 384 194 375 1667 375 335 163 375 1668 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
230 382 193 375 1667 375 335 163 375 1668 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
240 380 192 375 1667 375 335 163 375 1668 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
250 379 191 375 1667 375 335 163 375 1668 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
260 379 191 375 1667 375 335 163 375 1668 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
270 379 191 375 1667 375 335 163 375 1668 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
280 379 191 375 1667 375 335 163 375 1668 8 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
290 378 190 375 1667 375 335 163 375 1668 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
300 378 190 375 1667 375 335 163 375 1668 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
310 378 190 375 1667 375 335 163 375 1668 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
320 376 189 375 1667 375 335 163 375 1668 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
330 376 189 375 1667 375 335 163 375 1668 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
340 375 188 375 1667 375 335 163 375 1668 11 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
350 375 188 375 1667 375 335 163 375 1668 11 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
360 373 186 375 1667 375 335 163 375 1668 13 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
370 372 185 375 1667 375 335 163 375 1668 14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
380 372 185 375 1667 375 335 163 375 1668 14 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
390 370 184 375 1667 375 335 163 375 1668 15 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
400 370 184 375 1667 375 335 163 375 1668 15 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
410 368 182 375 1667 375 335 163 375 1668 17 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
420 368 182 375 1667 375 335 163 375 1668 17 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
430 368 182 375 1667 375 335 163 375 1668 17 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
440 368 182 375 1667 375 335 163 375 1668 17 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
450 367 181 375 1667 375 335 163 375 1668 18 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
460 367 181 375 1667 375 335 163 375 1668 18 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
470 367 181 375 1667 375 335 163 375 1668 18 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
480 367 181 375 1667 375 335 163 375 1668 18 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
490 366 180 375 1667 375 335 163 375 1668 19 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
500 366 180 375 1667 375 335 163 375 1668 19 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
510 366 180 375 1666 375 335 163 375 1668 18 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
520 366 180 375 1666 375 335 163 375 1668 18 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
530 365 179 375 1666 375 335 163 375 1668 19 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
540 365 179 375 1666 375 335 163 375 1668 19 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
550 365 179 375 1666 375 335 163 375 1668 19 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
560 364 179 375 1666 375 335 163 375 1668 19 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
570 364 179 375 1666 375 335 163 375 1668 19 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
580 364 179 375 1666 375 335 163 375 1668 19 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
590 364 179 375 1665 375 335 163 375 1668 18 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
600 364 179 374 1665 375 335 163 375 1668 17 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
610 364 179 374 1664 375 335 163 375 1668 16 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
620 364 179 374 1664 375 335 163 375 1668 16 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
630 364 179 374 1664 375 335 163 375 1668 16 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
640 364 179 374 1664 375 335 163 375 1668 16 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
650 364 179 374 1664 375 335 163 375 1668 16 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
660 364 179 374 1664 375 335 163 375 1668 16 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
670 363 178 374 1664 375 335 163 375 1668 17 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
680 362 177 374 1664 375 335 163 375 1668 18 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
690 360 175 374 1664 375 335 163 375 1668 20 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
700 359 174 374 1664 375 335 163 375 1668 21 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
710 358 174 374 1663 375 335 163 375 1668 20 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
720 357 173 374 1663 375 335 163 375 1668 21 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
730 357 173 374 1663 375 335 163 375 1668 21 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
740 357 173 374 1662 375 335 163 375 1668 20 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
750 357 173 374 1662 375 335 163 375 1668 20 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
760 357 173 374 1662 375 335 163 375 1668 20 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
770 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
780 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
790 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
800 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
810 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
820 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
830 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
840 356 172 373 1662 375 335 163 375 1668 21 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
850 356 172 372 1662 375 335 163 375 1668 21 1 4 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
860 356 172 372 1662 375 335 163 375 1668 21 1 4 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
870 356 172 372 1662 375 335 163 375 1668 21 1 4 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
880 355 171 372 1662 375 335 163 375 1668 22 1 4 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
890 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
900 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
910 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
920 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
930 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
940 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
950 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
960 355 171 372 1661 375 335 163 375 1668 21 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
970 354 170 372 1661 375 335 163 375 1668 22 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
980 354 170 372 1661 375 335 163 375 1668 22 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
990 354 170 372 1661 375 335 163 375 1668 22 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1000 354 170 372 1661 375 335 163 375 1668 22 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1010 354 170 372 1661 375 335 163 375 1668 22 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1020 354 170 372 1661 375 335 163 375 1668 22 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1030 354 170 372 1660 375 335 163 375 1668 21 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1040 354 170 372 1660 375 335 163 375 1668 21 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1050 353 169 372 1660 375 335 163 375 1668 22 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1060 352 168 372 1660 375 335 163 375 1668 23 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1070 352 168 372 1660 375 335 163 375 1668 23 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1080 351 168 372 1660 375 335 163 375 1668 23 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1090 351 168 372 1660 375 335 163 375 1668 23 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1100 351 168 372 1660 375 335 163 375 1668 23 1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1110 351 168 372 1659 375 335 163 375 1668 22 1 7 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1120 351 168 371 1659 375 335 163 375 1668 21 2 7 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
1130 351 168 371 1659 375 335 163 375 1668 21 2 7 2 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
